Month;Total Fossil Fuels Production;Nuclear Electric Power Production;Total Renewable Energy Production;Total Primary Energy Production;Primary Energy Imports;Primary Energy Exports;Primary Energy Net Imports;Primary Energy Stock Change and Other;Total Fossil Fuels Consumption;Nuclear Electric Power Consumption;Total Renewable Energy Consumption;Total Primary Energy Consumption
01.01.1985;4,868823;0,384371;0,555205;5,808399;0,90482;0,303303;0,601517;0,967338;6,42789;0,384371;0,555205;7,377254
01.02.1985;4,573561;0,32729;0,511838;5,412689;0,73896;0,30413;0,43483;1,032745;6,03303;0,32729;0,511838;6,880264
01.03.1985;4,985737;0,32972;0,525002;5,840459;0,938271;0,311093;0,627179;0,109915;5,710393;0,32972;0,525002;6,577553
01.04.1985;4,80526;0,28104;0,512937;5,599237;1,009283;0,32678;0,682503;-0,17561;5,302405;0,28104;0,512937;6,10613
01.05.1985;4,906735;0,304823;0,542968;5,754526;1,120084;0,378169;0,741914;-0,491088;5,146409;0,304823;0,542968;6,005352
01.06.1985;4,670048;0,32755;0,50733;5,504928;0,932317;0,337928;0,594389;-0,218837;5,033449;0,32755;0,50733;5,88048
01.07.1985;4,656111;0,373727;0,489577;5,519414;0,962098;0,324699;0,6374;0,030629;5,309635;0,373727;0,489577;6,187443
01.08.1985;4,85715;0,369775;0,475912;5,702836;0,924128;0,416556;0,507572;0,046579;5,395869;0,369775;0,475912;6,256987
01.09.1985;4,673938;0,366541;0,454274;5,494752;0,937626;0,362598;0,575029;-0,310781;4,925617;0,366541;0,454274;5,759
01.10.1985;4,929382;0,331461;0,475406;5,736249;1,003525;0,362454;0,641071;-0,351075;5,207793;0,331461;0,475406;6,026246
01.11.1985;4,63135;0,320428;0,499606;5,451384;1,145918;0,403539;0,742379;-0,134645;5,228088;0,320428;0,499606;6,059118
01.12.1985;4,943628;0,358837;0,53396;5,836425;1,163543;0,36493;0,798614;0,584066;6,315121;0,358837;0,53396;7,219105
01.01.1986;5,143178;0,383159;0,486064;6,012402;1,118689;0,31788;0,800809;0,582336;6,514033;0,383159;0,486064;7,395548
01.02.1986;4,634737;0,346156;0,479122;5,460015;0,850971;0,285113;0,565858;0,594526;5,785886;0,346156;0,479122;6,620399
01.03.1986;4,965916;0,325549;0,558538;5,850002;0,918255;0,305316;0,612939;0,313024;5,883728;0,325549;0,558538;6,775964
01.04.1986;4,664471;0,322413;0,539897;5,526781;1,007339;0,376285;0,631055;-0,048284;5,239137;0,322413;0,539897;6,109551
01.05.1986;4,70561;0,337725;0,545072;5,588407;1,219801;0,362502;0,8573;-0,346323;5,206938;0,337725;0,545072;6,099383
01.06.1986;4,537852;0,331481;0,527412;5,396746;1,255401;0,313467;0,941933;-0,322853;5,147695;0,331481;0,527412;6,015826
01.07.1986;4,536041;0,379718;0,513292;5,429051;1,314651;0,336621;0,97803;-0,052872;5,451039;0,379718;0,513292;6,354208
01.08.1986;4,667907;0,396534;0,482847;5,547289;1,360371;0,372569;0,987802;-0,31139;5,331362;0,396534;0,482847;6,223701
01.09.1986;4,511383;0,387113;0,472114;5,37061;1,309332;0,34579;0,963542;-0,515514;4,947904;0,387113;0,472114;5,818638
01.10.1986;4,768518;0,383103;0,482113;5,633734;1,243122;0,348583;0,894539;-0,488362;5,164399;0,383103;0,482113;6,039911
01.11.1986;4,591745;0,369674;0,492321;5,45374;1,239755;0,32966;0,910095;-0,24457;5,247547;0,369674;0,492321;6,119265
01.12.1986;4,811648;0,417484;0,532346;5,761479;1,313714;0,327693;0,986021;0,279762;6,066258;0,417484;0,532346;7,027262
01.01.1987;4,931783;0,417417;0,521265;5,870465;1,262434;0,279001;0,983433;0,618435;6,520368;0,417417;0,521265;7,472334
01.02.1987;4,528326;0,382159;0,452878;5,363363;1,07584;0,288662;0,787178;0,578527;5,879311;0,382159;0,452878;6,729068
01.03.1987;4,875851;0,389382;0,498782;5,764016;1,147062;0,309288;0,837773;0,165247;5,863944;0,389382;0,498782;6,767036
01.04.1987;4,617703;0,349992;0,477656;5,445351;1,12268;0,321842;0,800839;0,067679;5,470761;0,349992;0,477656;6,313868
01.05.1987;4,619925;0,358374;0,509032;5,487331;1,173728;0,298087;0,875641;-0,163716;5,319684;0,358374;0,509032;6,199256
01.06.1987;4,635733;0,38176;0,466873;5,484367;1,259103;0,317274;0,94183;-0,145975;5,417632;0,38176;0,466873;6,280222
01.07.1987;4,543756;0,41826;0,467691;5,429708;1,455012;0,304889;1,150123;0,046828;5,724864;0,41826;0,467691;6,626659
01.08.1987;4,798734;0,431801;0,448986;5,679521;1,44313;0,331515;1,111615;-0,276581;5,618573;0,431801;0,448986;6,514555
01.09.1987;4,721206;0,414191;0,437201;5,572598;1,345792;0,321435;1,024357;-0,473074;5,26135;0,414191;0,437201;6,123881
01.10.1987;4,997007;0,381045;0,442655;5,820707;1,386298;0,29986;1,086438;-0,544376;5,527906;0,381045;0,442655;6,362769
01.11.1987;4,846465;0,390924;0,423208;5,660598;1,360877;0,327548;1,033329;-0,35187;5,517998;0,390924;0,423208;6,342057
01.12.1987;5,014152;0,438627;0,47558;5,92836;1,366267;0,412549;0,953718;0,3953;6,352849;0,438627;0,47558;7,277377
01.01.1988;4,950223;0,473469;0,495132;5,918824;1,451051;0,284978;1,166073;0,715419;6,820914;0,473469;0,495132;7,800316
01.02.1988;4,752379;0,447892;0,446663;5,646934;1,357434;0,272704;1,08473;0,576522;6,402514;0,447892;0,446663;7,308187
01.03.1988;5,086477;0,465555;0,469098;6,021131;1,387994;0,347037;1,040957;0,234659;6,351358;0,465555;0,469098;7,296746
01.04.1988;4,695146;0,424786;0,455993;5,575924;1,381018;0,361577;1,019441;-0,145559;5,560392;0,424786;0,455993;6,449806
01.05.1988;4,744347;0,430975;0,486212;5,661535;1,461137;0,36761;1,093527;-0,364226;5,466201;0,430975;0,486212;6,390836
01.06.1988;4,660775;0,467326;0,453891;5,581993;1,382768;0,388899;0,993869;-0,068124;5,577641;0,467326;0,453891;6,507738
01.07.1988;4,550257;0,528281;0,442602;5,52114;1,442954;0,376724;1,066231;0,158659;5,763547;0,528281;0,442602;6,74603
01.08.1988;4,994209;0,519872;0,437214;5,951295;1,451522;0,402504;1,049017;-0,012135;6,018489;0,519872;0,437214;6,988178
01.09.1988;4,720908;0,49056;0,426312;5,63778;1,42076;0,393352;1,027408;-0,324311;5,415734;0,49056;0,426312;6,340877
01.10.1988;4,865084;0,451551;0,422602;5,739237;1,540071;0,378123;1,161948;-0,314478;5,704981;0,451551;0,422602;6,586707
01.11.1988;4,884987;0,419662;0,448903;5,753552;1,481504;0,357231;1,124273;-0,1736;5,829882;0,419662;0,448903;6,704226
01.12.1988;4,941064;0,467038;0,472132;5,880234;1,537717;0,435713;1,102003;0,558122;6,596231;0,467038;0,472132;7,54036
01.01.1989;4,999261;0,490288;0,509147;5,998695;1,627406;0,3138;1,313606;0,326454;6,634584;0,490288;0,509147;7,638755
01.02.1989;4,541252;0,409824;0,461435;5,41251;1,434034;0,331006;1,103028;0,714072;6,352085;0,409824;0,461435;7,22961
01.03.1989;5,054078;0,419471;0,532715;6,006265;1,47982;0,393816;1,086004;0,448911;6,586898;0,419471;0,532715;7,54118
